TF,Target
AT1G09530,AT4G37250
AT1G09530,AT4G37550
AT1G09530,AT4G37540
AT1G09530,AT4G37940
AT1G09530,AT4G37950
AT1G09530,AT4G39770
AT1G09530,AT5G01380
AT1G09530,AT5G03140
AT1G09530,AT5G04090
AT1G09530,AT5G04840
AT1G09530,AT5G04830
AT1G09530,AT5G05250
AT1G09530,AT5G05440
AT1G09530,AT5G13260
AT1G09530,AT5G13820
AT1G09530,AT5G16120
AT1G09530,AT5G16110
AT1G09530,AT5G17230
AT1G09530,AT5G17240
AT1G09530,AT5G17800
AT1G09530,AT5G17790
AT1G09530,AT5G18270
AT1G09530,AT5G18610
AT1G09530,AT5G18860
AT1G09530,AT5G18920
AT1G09530,AT5G18910
AT1G09530,AT5G21990
AT1G09530,AT5G26190
AT1G09530,AT5G26200
AT1G09530,AT5G28145
AT1G09530,AT5G28143
AT1G09530,AT5G28622
AT1G09530,AT5G28620
AT1G09530,AT5G36250
AT1G09530,AT5G36240
AT1G09530,AT5G37260
AT1G09530,AT5G40630
AT1G09530,AT5G40640
AT1G09530,AT5G40855
AT1G09530,AT5G40860
AT1G09530,AT5G43150
AT1G09530,AT5G43745
AT1G09530,AT5G45340
AT1G09530,AT5G47040
AT1G09530,AT5G47180
AT1G09530,AT5G47390
AT1G09530,AT5G47380
AT1G09530,AT5G47420
AT1G09530,AT5G52570
AT1G09530,AT5G52580
AT1G09530,AT5G54960
AT1G09530,AT5G54970
AT1G09530,AT5G59480
AT1G09530,AT5G60850
AT1G09530,AT5G62500
AT1G09530,AT5G63520
AT1G09530,AT5G63530
AT1G09530,AT5G63660
AT1G09530,AT5G63650
AT1G09530,AT5G64210
AT1G09530,AT5G64220
AT1G09530,AT5G64530
AT1G09530,AT5G66590
AT1G09530,AT5G66700
AT1G09530,AT1G22360
AT1G09530,AT1G32660
AT1G09530,AT1G49780
AT1G09530,AT1G65840
AT1G09530,AT1G65830
AT1G09530,AT1G70300
AT1G09530,AT1G76890
AT1G09530,AT2G18780
AT1G09530,AT2G18790
AT1G09530,AT2G19806
AT1G09530,AT2G21510
AT1G09530,AT2G21520
AT1G09530,AT2G22795
AT1G09530,AT2G31010
AT1G09530,AT2G34650
AT1G09530,AT2G34655
AT1G09530,AT2G41070
AT1G09530,AT3G10960
AT1G09530,AT3G11920
AT1G09530,AT3G11910
AT1G09530,AT3G14450
AT1G09530,AT3G20910
AT1G09530,AT3G20900
AT1G09530,AT3G23050
AT1G09530,AT3G30775
AT1G09530,AT3G50060
AT1G09530,AT3G58120
AT1G09530,AT3G58130
AT1G09530,AT4G14470
AT1G09530,AT4G15230
AT1G09530,AT4G39640
AT1G09530,AT4G39630
AT1G09530,AT5G03330
AT1G09530,AT5G16023
AT1G09530,AT5G16030
AT1G09530,AT5G21940
AT1G09530,AT5G42900
AT1G09530,AT5G58320
AT1G09530,AT5G58310
